country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,"Madhya Pradesh",Maihar,"Sahilara, Maihar - KJS Cements","03-04-2025 20:00:00",24.2613009,80.7231783,NO2,11,12,12
India,Maharashtra,Mahad,"Kamble Tarf Birwadi, Mahad - MPCB","03-04-2025 20:00:00",18.1023399,73.4783687,SO2,1,42,7
India,Maharashtra,Mahad,"Kamble Tarf Birwadi, Mahad - MPCB","03-04-2025 20:00:00",18.1023399,73.4783687,OZONE,4,69,52
India,Maharashtra,Malegaon,"Mahesh Nagar, Malegaon - MPCB","03-04-2025 20:00:00",20.555712,74.529236,NO2,13,52,31
India,Maharashtra,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB","03-04-2025 20:00:00",19.296481,72.840923,PM10,35,92,68
India,Maharashtra,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB","03-04-2025 20:00:00",19.296481,72.840923,NO2,5,68,32
India,Maharashtra,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB","03-04-2025 20:00:00",19.296481,72.840923,NH3,4,6,5
India,Maharashtra,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB","03-04-2025 20:00:00",19.296481,72.840923,SO2,1,2,1
India,Maharashtra,Latur,"Sawe Wadi, Latur - MPCB","03-04-2025 20:00:00",18.39963,76.57452,PM2.5,48,90,62
India,Maharashtra,Latur,"Sawe Wadi, Latur - MPCB","03-04-2025 20:00:00",18.39963,76.57452,NO2,15,66,28
India,Maharashtra,Mahad,"Kamble Tarf Birwadi, Mahad - MPCB","03-04-2025 20:00:00",18.1023399,73.4783687,PM2.5,74,146,93
India,Maharashtra,Mahad,"Kamble Tarf Birwadi, Mahad - MPCB","03-04-2025 20:00:00",18.1023399,73.4783687,PM10,96,141,113
India,Maharashtra,Mahad,"Kamble Tarf Birwadi, Mahad - MPCB","03-04-2025 20:00:00",18.1023399,73.4783687,NO2,6,47,18
India,Maharashtra,Mumbai,"Borivali East, Mumbai - IITM","03-04-2025 20:00:00",19.23241,72.86895,CO,3,70,24
India,Maharashtra,Mumbai,"Borivali East, Mumbai - MPCB","03-04-2025 20:00:00",19.2243333,72.8658113,PM2.5,35,52,45
India,Maharashtra,Mumbai,"Byculla, Mumbai - BMC","03-04-2025 20:00:00",18.9767,72.8380,PM2.5,39,80,61
